========
TRAINING
========

Max epochs   500000. Desired error: 0.0109999999.
Epochs          260. Current error: 0.1248660758. Bit fail 575.
Epochs          261. Current error: 0.1247814819. Bit fail 575.
Epochs          262. Current error: 0.1246972755. Bit fail 575.
Epochs          263. Current error: 0.1246131435. Bit fail 576.
Epochs          264. Current error: 0.1245292947. Bit fail 576.
Epochs          265. Current error: 0.1244455427. Bit fail 576.
Epochs          266. Current error: 0.1243616343. Bit fail 576.
Epochs          267. Current error: 0.1242782325. Bit fail 576.
Epochs          268. Current error: 0.1241946593. Bit fail 576.
Epochs          269. Current error: 0.1241116971. Bit fail 574.
Epochs          270. Current error: 0.1240286231. Bit fail 574.
Epochs          271. Current error: 0.1239455044. Bit fail 574.
Epochs          272. Current error: 0.1238625124. Bit fail 576.
Epochs          273. Current error: 0.1237801164. Bit fail 576.
Epochs          274. Current error: 0.1236975119. Bit fail 575.
Epochs          275. Current error: 0.1236149892. Bit fail 574.
Epochs          276. Current error: 0.1235326231. Bit fail 575.
Epochs          277. Current error: 0.1234504133. Bit fail 575.
Epochs          278. Current error: 0.1233681664. Bit fail 575.
Epochs          279. Current error: 0.1232862994. Bit fail 576.
Epochs          280. Current error: 0.1232041419. Bit fail 576.
Epochs          281. Current error: 0.1231224686. Bit fail 576.
Epochs          282. Current error: 0.1230411828. Bit fail 577.
Epochs          283. Current error: 0.1229594499. Bit fail 577.
Epochs          284. Current error: 0.1228780001. Bit fail 578.
Epochs          285. Current error: 0.1227966473. Bit fail 578.
Epochs          286. Current error: 0.1227154061. Bit fail 578.
Epochs          287. Current error: 0.1226341948. Bit fail 579.
Epochs          288. Current error: 0.1225532368. Bit fail 579.
Epochs          289. Current error: 0.1224723160. Bit fail 578.
Epochs          290. Current error: 0.1223913953. Bit fail 577.
Epochs          291. Current error: 0.1223106161. Bit fail 577.
Epochs          292. Current error: 0.1222299337. Bit fail 577.
Epochs          293. Current error: 0.1221492216. Bit fail 577.
Epochs          294. Current error: 0.1220686883. Bit fail 577.
Epochs          295. Current error: 0.1219884753. Bit fail 576.
Epochs          296. Current error: 0.1219080463. Bit fail 576.
Epochs          297. Current error: 0.1218276694. Bit fail 576.
Epochs          298. Current error: 0.1217477024. Bit fail 576.
Epochs          299. Current error: 0.1216676831. Bit fail 576.
Epochs          300. Current error: 0.1215874776. Bit fail 576.
Epochs          301. Current error: 0.1215072945. Bit fail 577.
Epochs          302. Current error: 0.1214276031. Bit fail 576.
Epochs          303. Current error: 0.1213476211. Bit fail 574.
Epochs          304. Current error: 0.1212677509. Bit fail 573.
Epochs          305. Current error: 0.1211882308. Bit fail 573.
Epochs          306. Current error: 0.1211086810. Bit fail 573.
Epochs          307. Current error: 0.1210291237. Bit fail 573.
Epochs          308. Current error: 0.1209493279. Bit fail 572.
Epochs          309. Current error: 0.1208701655. Bit fail 571.
Epochs          310. Current error: 0.1207905188. Bit fail 572.
Epochs          311. Current error: 0.1207112148. Bit fail 572.
Epochs          312. Current error: 0.1206320897. Bit fail 573.
Epochs          313. Current error: 0.1205527633. Bit fail 574.
Epochs          314. Current error: 0.1204734594. Bit fail 574.
Epochs          315. Current error: 0.1203942820. Bit fail 574.
Epochs          316. Current error: 0.1203150898. Bit fail 576.
Epochs          317. Current error: 0.1202358231. Bit fail 577.
Epochs          318. Current error: 0.1201570258. Bit fail 577.
Epochs          319. Current error: 0.1200777814. Bit fail 576.
Epochs          320. Current error: 0.1199987978. Bit fail 577.
Epochs          321. Current error: 0.1199199855. Bit fail 578.
Epochs          322. Current error: 0.1198408902. Bit fail 578.
Epochs          323. Current error: 0.1197619215. Bit fail 578.
Epochs          324. Current error: 0.1196830198. Bit fail 578.
Epochs          325. Current error: 0.1196042448. Bit fail 579.
Epochs          326. Current error: 0.1195253730. Bit fail 581.
Epochs          327. Current error: 0.1194465607. Bit fail 580.
Epochs          328. Current error: 0.1193676963. Bit fail 582.
Epochs          329. Current error: 0.1192887127. Bit fail 582.
Epochs          330. Current error: 0.1192099899. Bit fail 583.
Epochs          331. Current error: 0.1191310063. Bit fail 581.
Epochs          332. Current error: 0.1190524697. Bit fail 582.
Epochs          333. Current error: 0.1189735234. Bit fail 582.
Epochs          334. Current error: 0.1188946739. Bit fail 582.
Epochs          335. Current error: 0.1188157573. Bit fail 583.
Epochs          336. Current error: 0.1187370196. Bit fail 583.
Epochs          337. Current error: 0.1186581850. Bit fail 584.
Epochs          338. Current error: 0.1185795516. Bit fail 584.
Epochs          339. Current error: 0.1185006574. Bit fail 584.
Epochs          340. Current error: 0.1184213609. Bit fail 584.
Epochs          341. Current error: 0.1183425114. Bit fail 584.
Epochs          342. Current error: 0.1182638481. Bit fail 585.
Epochs          343. Current error: 0.1181847751. Bit fail 584.
Epochs          344. Current error: 0.1181062087. Bit fail 584.
Epochs          345. Current error: 0.1180269644. Bit fail 584.
Epochs          346. Current error: 0.1179476902. Bit fail 583.
Epochs          347. Current error: 0.1178688556. Bit fail 583.
Epochs          348. Current error: 0.1177896410. Bit fail 583.
Epochs          349. Current error: 0.1177105010. Bit fail 584.
Epochs          350. Current error: 0.1176314875. Bit fail 584.
